RatType,RatDate,Currency,RatCurrencyTo,RatAmount,RatAmount from USD
COBU,2025-03-19,HUF,USD,0.002736352442194555,365.45
COBU,2025-03-19,RON,USD,0.21893335668622474,4.5676
COBU,2025-03-19,CRC,USD,0.002002749731320609,499.31351100000006
COBU,2025-03-19,TRY,USD,0.026321330806485577,37.992
COBU,2025-03-19,INR,USD,0.011584800741427249,86.32
COBU,2025-03-19,PLN,USD,0.2601659858990036,3.8436999999999997
COBU,2025-03-19,THB,USD,0.02973977695167286,33.625
COBU,2025-03-19,JPY,USD,0.006674230794900887,149.83
COBU,2025-03-19,CNY,USD,0.13831067343466896,7.230099999999999
COBU,2025-03-19,BRL,USD,0.175960303355563,5.6831
COBU,2025-03-19,HKD,USD,0.1286935035519407,7.7703999999999995
COBU,2025-03-19,CAD,USD,0.6982752601075344,1.4321
COBU,2025-03-19,NOK,USD,0.09471490812653911,10.558
COBU,2025-03-19,RUB,USD,0.012210579204306642,81.896197
COBU,2025-03-19,QAR,USD,0.2747252747252747,3.6400000000000006
COBU,2025-03-19,AED,USD,0.27229407760381213,3.6725
COBU,2025-03-19,EGP,USD,0.01980684719142175,50.487591
COBU,2025-03-19,CHF,USD,1.1371130972686543,0.8794200000000001
COBU,2025-03-19,SGD,USD,0.7501875468867217,1.333
COBU,2025-03-19,CZK,USD,0.0435976806033919,22.937
COBU,2025-03-19,DKK,USD,0.14608776953193478,6.8452
COBU,2025-03-19,KES,USD,0.007732175084434386,129.329715
COBU,2025-03-19,GBP,USD,1.296058685537281,0.77157
COBU,2025-03-19,MXN,USD,0.050156488243319156,19.9376
COBU,2025-03-19,TWD,USD,0.03033607916309067,32.964049
COBU,2025-03-19,CLP,USD,0.0010843308934482215,922.227713
COBU,2025-03-19,KWD,USD,3.245773191860899,0.308093
COBU,2025-03-19,USD,USD,1.0,1.0
COBU,2025-03-19,ILS,USD,0.27235340577933925,3.6717000000000004
COBU,2025-03-19,NZD,USD,0.5786367318597385,1.7281999999999997
COBU,2025-03-19,KRW,USD,0.0006854714329780307,1458.85
COBU,2025-03-19,SEK,USD,0.09904128040567309,10.0968
COBU,2025-03-19,AMD,USD,0.0025465339739794853,392.690618
COBU,2025-03-19,AUD,USD,0.6332320162107397,1.5792
COBU,2025-03-19,EUR,USD,1.0897044721471536,0.91768
