Date,EUR,GBP,HKD,HUF,ILS,INR,JPY,KRW,MXN,NOK,NZD,PLN,RON,RUB,SEK,SGD,THB,TRY
20/03/2020,0.93397,0.85017,7.7572,327.74,3.6129,75.147,110.55,1247.45,23.99,11.3211,1.7298,4.2323,4.5302,79.481,10.3295,1.4491,32.55,6.5197
21/03/2020,0.93397,0.85017,7.7572,327.74,3.6129,75.147,110.55,1247.45,23.99,11.3211,1.7298,4.2323,4.5302,79.481,10.3295,1.4491,32.55,6.5197
22/03/2020,0.93397,0.85017,7.7572,327.74,3.6129,75.147,110.55,1247.45,23.99,11.3211,1.7298,4.2323,4.5302,79.481,10.3295,1.4491,32.55,6.5197
23/03/2020,0.92739,0.86219,7.7558,326.75,3.6699,76.166,110.46,1256.7,24.681,11.3668,1.7564,4.2712,4.4961,79.829,10.2676,1.4602,32.865,6.5859
24/03/2020,0.92225,0.8494,7.755,325.62,3.6317,75.957,110.66,1241.95,24.836,11.0435,1.7224,4.2558,4.4597,78.539,10.2267,1.4472,32.77,6.4659
25/03/2020,0.92362,0.84514,7.7529,327.86,3.6401,76.383,111.45,1232.86,24.541,10.8751,1.7068,4.2317,4.4746,78.323,10.1264,1.4456,32.78,6.435
26/03/2020,0.91066,0.83187,7.753,323.28,3.6049,75.157,109.44,1217.07,23.745,10.4975,1.6875,4.1661,4.4017,77.689,10.0237,1.4351,32.635,6.4117
27/03/2020,0.911,0.81755,7.7521,324,3.5905,75.494,108.74,1226.48,23.534,10.6184,1.6897,4.1274,4.4069,78.692,10.0353,1.4359,32.585,6.4621
28/03/2020,0.911,0.81755,7.7521,324,3.5905,75.494,108.74,1226.48,23.534,10.6184,1.6897,4.1274,4.4069,78.692,10.0353,1.4359,32.585,6.4621
29/03/2020,0.911,0.81755,7.7521,324,3.5905,75.494,108.74,1226.48,23.534,10.6184,1.6897,4.1274,4.4069,78.692,10.0353,1.4359,32.585,6.4621
30/03/2020,0.90629,0.80569,7.7541,325.1,3.5838,75.675,108.16,1224.87,23.786,10.5934,1.668,4.1244,4.3754,79.88,10.0032,1.4258,32.7,6.5683
31/03/2020,0.91274,0.80908,7.7533,328.61,3.5613,75.666,108.53,1224.01,23.893,10.5057,1.681,4.1535,4.407,78.45,10.0961,1.4269,32.79,6.5775
01/04/2020,0.91441,0.80889,7.7525,337.75,3.5676,76.445,107.49,1231.24,24.15,10.304,1.696,4.1894,4.4203,79.078,10.0007,1.4346,33.02,6.6683
02/04/2020,0.91693,0.80449,7.7522,333.51,3.6473,76.407,107.34,1228.57,24.299,10.3012,1.6853,4.1901,4.4306,78.709,10.0188,1.432,32.974,6.6628
03/04/2020,0.92721,0.81456,7.7538,338.57,3.6409,76.236,108.58,1235.81,24.615,10.443,1.7082,4.2434,4.4791,76.783,10.1548,1.4362,33.01,6.7034
04/04/2020,0.92721,0.81456,7.7538,338.57,3.6409,76.236,108.58,1235.81,24.615,10.443,1.7082,4.2434,4.4791,76.783,10.1548,1.4362,33.01,6.7034
05/04/2020,0.92721,0.81456,7.7538,338.57,3.6409,76.236,108.58,1235.81,24.615,10.443,1.7082,4.2434,4.4791,76.783,10.1548,1.4362,33.01,6.7034
06/04/2020,0.9267,0.81364,7.7519,338.47,3.6275,76.091,108.92,1228.84,25.104,10.5528,1.6866,4.2297,4.4792,76.434,10.174,1.4345,32.86,6.7775
07/04/2020,0.9187,0.80931,7.752,328.54,3.5993,75.563,108.91,1212.12,24.269,10.1925,1.6684,4.1668,4.4387,75.857,9.9943,1.4241,32.765,6.7581
08/04/2020,0.91988,0.80901,7.7525,330.55,3.5925,76.23,108.88,1218.25,24.227,10.2971,1.6736,4.1801,4.449,75.522,10.0621,1.4274,32.76,6.7885
09/04/2020,0.92022,0.80579,7.7537,326.46,3.5814,76.314,108.89,1216.98,23.955,10.3196,1.6682,4.1949,4.4474,74.252,10.0722,1.4244,32.82,6.739
10/04/2020,0.92022,0.80579,7.7537,326.46,3.5814,76.314,108.89,1216.98,23.955,10.3196,1.6682,4.1949,4.4474,74.252,10.0722,1.4244,32.82,6.739
11/04/2020,0.92022,0.80579,7.7537,326.46,3.5814,76.314,108.89,1216.98,23.955,10.3196,1.6682,4.1949,4.4474,74.252,10.0722,1.4244,32.82,6.739
12/04/2020,0.92022,0.80579,7.7537,326.46,3.5814,76.314,108.89,1216.98,23.955,10.3196,1.6682,4.1949,4.4474,74.252,10.0722,1.4244,32.82,6.739
13/04/2020,0.92022,0.80579,7.7537,326.46,3.5814,76.314,108.89,1216.98,23.955,10.3196,1.6682,4.1949,4.4474,74.252,10.0722,1.4244,32.82,6.739
14/04/2020,0.91216,0.79589,7.7511,319.89,3.583,76.156,107.32,1215.48,23.577,10.3182,1.6426,4.1479,4.4097,73.328,9.9569,1.4158,32.71,6.793
15/04/2020,0.91718,0.80148,7.7514,321.29,3.6148,76.502,107.42,1220.34,23.92,10.502,1.6714,4.1622,4.4371,74.475,10.0269,1.4247,32.68,6.8874
16/04/2020,0.91844,0.80054,7.7508,321.05,3.5895,76.874,107.57,1225.67,24.15,10.4836,1.6725,4.1594,4.4428,74.045,10.0014,1.4272,32.66,6.9348
17/04/2020,0.92081,0.8009,7.7506,323.95,3.5901,76.483,107.61,1216.88,24.027,10.3909,1.6614,4.1607,4.4527,73.996,9.9952,1.4224,32.53,6.9043
18/04/2020,0.92081,0.8009,7.7506,323.95,3.5901,76.483,107.61,1216.88,24.027,10.3909,1.6614,4.1607,4.4527,73.996,9.9952,1.4224,32.53,6.9043
19/04/2020,0.92081,0.8009,7.7506,323.95,3.5901,76.483,107.61,1216.88,24.027,10.3909,1.6614,4.1607,4.4527,73.996,9.9952,1.4224,32.53,6.9043
20/04/2020,0.92081,0.80426,7.7503,326.49,3.5712,76.556,107.84,1218.71,24.041,10.3773,1.654,4.1687,4.4546,74.558,10.0021,1.4231,32.49,6.9263
21/04/2020,0.92276,0.81314,7.75,327.6,3.5547,76.94,107.4,1232.2,24.357,10.5973,1.6777,4.1793,4.4637,76.857,10.1082,1.4312,32.545,6.9815
22/04/2020,0.92022,0.80905,7.7501,326.78,3.5428,76.534,107.67,1232.78,24.285,10.7458,1.6748,4.1731,4.453,76.562,10.0693,1.4271,32.37,6.9944
23/04/2020,0.92833,0.80951,7.7506,331.89,3.5469,76.068,107.45,1231.71,24.454,10.6911,1.6661,4.2127,4.4955,74.833,10.108,1.4232,32.32,6.9428
24/04/2020,0.92593,0.81017,7.7506,328.88,3.5171,76.269,107.61,1233.88,24.845,10.6282,1.6658,4.193,4.4832,74.444,10.0669,1.4256,32.435,6.9782
25/04/2020,0.92593,0.81017,7.7506,328.88,3.5171,76.269,107.61,1233.88,24.845,10.6282,1.6658,4.193,4.4832,74.444,10.0669,1.4256,32.435,6.9782
26/04/2020,0.92593,0.81017,7.7506,328.88,3.5171,76.269,107.61,1233.88,24.845,10.6282,1.6658,4.193,4.4832,74.444,10.0669,1.4256,32.435,6.9782
27/04/2020,0.92149,0.80412,7.7501,326.73,3.5117,76.133,107.1,1224.49,24.902,10.5522,1.6488,4.1731,4.4572,74.171,10.021,1.4183,32.47,6.9826
28/04/2020,0.91937,0.80057,7.7504,327.24,3.501,75.867,106.7,1218.9,24.388,10.3689,1.6508,4.1802,4.4539,74.184,9.8814,1.4165,32.435,6.9978
29/04/2020,0.92234,0.80592,7.7503,327.94,3.5102,75.65,106.55,1218.95,24.122,10.3973,1.6446,4.1913,4.4673,73.622,9.9002,1.4152,32.42,6.9883
30/04/2020,0.91946,0.79905,7.751,324.31,3.5003,75.037,106.54,1207.33,23.717,10.2832,1.6279,4.1684,4.453,73.457,9.805,1.409,32.38,6.9859
01/05/2020,0.91946,0.79905,7.751,324.31,3.5003,75.037,106.54,1207.33,23.717,10.2832,1.6279,4.1684,4.453,73.457,9.805,1.409,32.38,6.9859
02/05/2020,0.91946,0.79905,7.751,324.31,3.5003,75.037,106.54,1207.33,23.717,10.2832,1.6279,4.1684,4.453,73.457,9.805,1.409,32.38,6.9859
03/05/2020,0.91946,0.79905,7.751,324.31,3.5003,75.037,106.54,1207.33,23.717,10.2832,1.6279,4.1684,4.453,73.457,9.805,1.409,32.38,6.9859
